ISO3,total_hours_worked,labor_productivity_person_growth,labor_productivity_hour_growth,total_factor_productivity_growth
BIH,NA,11.73,NA,10.05
BIH,NA,-4.5,NA,3.92
BIH,NA,-30.78,NA,0.01
BIH,NA,-19.65,NA,-4.08
BIH,NA,7.56,NA,6.59
BIH,NA,7.42,NA,5.41
BIH,NA,3.72,NA,1.57
BIH,NA,2.43,NA,0.06
BIH,NA,5.38,NA,2.32
BIH,NA,5.04,NA,1.75
BIH,NA,8.03,NA,4.29
BIH,1768.13,6.04,NA,1.22
BIH,1728.18,7.12,7.85,3.77
BIH,1779.02,3.52,2.83,-0.01
BIH,1914.76,-0.92,-2.03,-2.48
BIH,1836.9,-0.35,1.11,-3.86
BIH,1711.36,7.32,8.26,2.32
BIH,1670.0,3.28,3.46,-0.19
BIH,1640.79,1.88,0.94,-0.94
BIH,1625.12,3.29,3.34,0.61
BIH,1598.13,2.67,2.86,0.02
BIH,1555.3,6.02,7.16,4.71
BIH,1625.74,1.61,-1.23,-0.79
BIH,1664.93,-1.58,0.81,0.81
BIH,1721.73,1.22,0.4,0.94
BIH,1756.08,0.38,0.87,-0.67
BIH,1665.05,-1.8,2.29,-4.12
BIH,1782.4,6.49,0.32,1.6
BIH,1791.92,1.66,3.67,2.41
BIH,1806.16,0.81,1.19,-0.28
BIH,1814.16,2.03,2.03,0.43
BIH,1796.75,3.78,3.8,1.1
BWA,NA,0.54,NA,-5.64
BWA,NA,-1.62,NA,-3.82
BWA,NA,-3.18,NA,-6.81
BWA,NA,3.02,NA,-1.41
BWA,NA,-1.52,NA,-4.98
BWA,NA,6.99,NA,3.09
BWA,NA,-2.24,NA,-2.86
BWA,NA,7.84,NA,1.79
BWA,NA,-9.34,NA,-9.79
BWA,NA,1.26,NA,0.18
BWA,NA,-0.17,NA,-2.67
BWA,NA,1.41,NA,-3.66
BWA,NA,7.62,NA,1.83
BWA,NA,6.06,NA,0.47
BWA,NA,-0.99,NA,-2.65
BWA,1532.49,7.55,NA,2.66
BWA,1525.2,5.3,6.54,2.8
BWA,1596.28,0.68,1.08,-1.88
BWA,1675.49,-2.01,-1.63,-5.01
BWA,1752.18,-18.27,-17.9,-22.89
BWA,1771.4,8.24,8.93,3.79
BWA,1982.51,-5.24,-4.54,-4.19
BWA,2019.55,-2.58,-2.0,-8.06
BWA,2047.16,9.24,9.6,4.3
BWA,2053.33,4.92,5.38,-0.15
BWA,2117.27,-8.29,-7.72,-11.22
BWA,2195.33,2.98,3.39,0.48
BWA,2281.01,-0.26,0.2,-1.24
BWA,2365.22,0.03,0.48,-1.7
BWA,2656.03,-8.63,-8.25,-5.34
BWA,2728.5,-11.89,-11.15,-14.02
BWA,2815.52,11.26,8.46,6.69
BWA,2707.53,5.22,9.69,2.74
BWA,2684.61,2.74,3.61,-0.76
BWA,2768.4,-2.09,-2.07,-4.49
BWA,2839.93,2.55,2.58,0.08
BRA,124942.94,-3.05,-2.93,-5.25
BRA,127308.77,-0.58,-0.85,-0.48
BRA,129859.19,-2.29,-2.49,-1.6
BRA,131568.25,2.22,3.56,2.55
BRA,134415.98,3.4,3.61,2.21
BRA,137516.79,1.68,1.87,1.07
BRA,138959.52,2.56,1.15,-1.1
BRA,139764.94,1.89,2.8,0.28
BRA,141101.99,-0.69,-0.61,-3.01
BRA,143097.46,-2.24,-0.93,-1.82
BRA,148824.79,0.66,0.37,-0.97
BRA,154560.05,-2.12,-2.37,-3.46
BRA,158313.48,-0.43,0.61,-0.5
BRA,160288.92,-0.45,-0.11,-1.49
BRA,164147.23,2.3,3.27,2.61
BRA,166353.12,1.15,1.83,0.42
BRA,169489.13,1.69,2.04,0.19
BRA,172295.86,4.13,4.34,2.01
BRA,176595.08,2.53,2.54,0.19
BRA,177983.57,-1.5,-0.9,-3.87
BRA,179947.0,6.2,6.35,2.93
BRA,181584.19,2.86,3.04,-0.04
BRA,182198.45,0.81,1.58,-2.24
BRA,185234.8,1.43,1.32,-0.67
BRA,186793.09,-0.8,-0.33,-2.76
BRA,184888.41,-3.5,-2.55,-4.61
BRA,180585.08,-1.3,-0.97,-3.57
BRA,179093.29,1.0,2.17,0.98
BRA,181363.29,0.05,0.51,-0.66
BRA,185962.75,-0.99,-1.28,-1.25
BRA,159696.98,4.84,12.63,1.79
BRA,181741.67,-0.22,-7.94,-2.81
BRA,196060.78,-4.07,-4.51,-1.48
BRA,198154.16,1.85,2.15,1.34
BRA,191922.68,5.3,6.75,3.6
BRA,192666.3,1.21,1.22,0.29
BGR,NA,-5.14,NA,-8.49
BGR,NA,5.41,NA,-2.21
BGR,NA,0.86,NA,-4.77
BGR,NA,0.1,NA,-2.16
BGR,NA,1.11,NA,0.9
BGR,6019.13,1.67,NA,2.94
BGR,6175.12,-11.46,-11.33,-10.85
BGR,5980.71,-11.39,-11.32,-13.72
BGR,5722.0,4.87,8.48,5.28
BGR,5539.65,-4.26,-5.38,-9.65
BGR,5313.11,7.14,9.05,4.27
BGR,5310.3,4.61,3.88,0.2
