ISO3,year,government_investment_gdp,private_sector_investment_gdp
BOL,2007,6.393915332,4.55331578
BOL,2008,6.948598597,5.290270536
BOL,2009,7.027692028,5.155740525
BOL,2010,7.170205333,5.403697083
BOL,2011,8.214327289,6.571867523
BOL,2012,8.270520778,6.150438453
BOL,2013,8.95333048,6.133476843
BOL,2014,9.300222195,6.422829298
BOL,2015,9.956909124,5.786720333
BOL,2016,9.777650813,5.837825047
BOL,2017,10.73238159,6.018411761
BOL,2018,9.062518919,7.528564826
BOL,2019,8.103234318,7.566203119
BRA,1990,7.498082595,9.744324447
BRA,1991,7.069627683,11.37662568
BRA,1992,7.866269551,9.521458302
BRA,1993,7.077332027,10.55728215
BRA,1994,7.101008589,11.93376549
BRA,1995,5.322032127,14.2728422
BRA,1996,4.142713723,15.32790071
BRA,1997,4.880989987,15.59871843
BRA,1998,6.091584418,14.31061068
BRA,1999,3.983252798,14.69926693
BRA,2000,4.691097801,14.12156431
BRA,2001,5.558186845,13.09161346
BRA,2002,4.825658112,12.39076541
BRA,2003,2.520042879,13.71924803
BRA,2004,2.969243352,13.62343559
BRA,2005,3.649181327,12.74319238
BRA,2006,4.233164127,12.584749
BRA,2007,3.989837568,13.76078281
BRA,2008,4.893904026,14.07158585
BRA,2009,4.809985174,13.77419061
BRA,2010,5.260629164,15.1081397
BRA,2011,4.584925388,16.34404933
BRA,2012,4.52599752,16.16839255
BRA,2013,4.411900242,16.8495258
BRA,2014,4.459313009,15.80190711
BRA,2015,3.506473708,14.56996431
BRA,2016,2.92075476,13.50100428
BRA,2017,2.536733303,13.25614329
BRA,2018,2.277858986,13.91877443
BRA,2019,2.201540525,14.17248241
BRB,1990,6.834773302,19.52189641
BRB,1991,7.145403272,20.4091361
BRB,1992,4.309815082,12.30995727
BRB,1993,5.37123579,15.3416521
BRB,1994,6.978293273,19.93182829
BRB,1995,5.563998741,19.62372301
BRB,1996,8.148174443,18.01229951
BRB,1997,11.48785324,25.97198567
BRB,1998,9.810065783,33.09843261
BRB,1999,9.363867316,31.53998578
BRB,2000,9.757864082,27.57402914
BRB,2001,12.33745606,24.58615803
BRB,2002,15.47904725,30.33268004
BRB,2003,9.516184425,24.66262033
BRB,2004,8.601797628,26.84607939
BRB,2005,9.18913755,26.03160695
BRB,2006,10.70957918,31.27080047
BRB,2007,8.702011932,25.47168088
BRB,2008,5.760724388,26.38236115
BRB,2009,4.179760507,24.44824217
BRB,2010,4.199588352,31.3938886
BRB,2011,3.582667358,35.45579714
BRB,2012,3.386539414,31.69936269
BRB,2013,4.376634552,32.91187323
BRB,2014,4.989548285,31.54035656
BRB,2015,5.821260117,31.21667792
BRB,2016,5.653664119,29.64293072
BRB,2017,3.320387867,21.16676904
BRB,2018,3.496866489,19.84641343
BRB,2019,3.075727929,18.60111304
BRN,1990,4.21245931,14.16583136
BRN,1991,4.427392638,14.88861782
BRN,1992,4.990340619,16.78172243
BRN,1993,6.056203521,20.36605021
BRN,1994,5.281688014,17.76147653
BRN,1995,5.48452085,18.44357029
BRN,1996,9.927455068,33.38445014
BRN,1997,6.246243956,21.00512286
BRN,1998,5.469064767,18.39159329
BRN,1999,4.251473286,14.29702741
BRN,2000,2.928203848,9.847083419
BRN,2001,3.107129544,10.4487818
BRN,2002,4.282361404,14.40089897
BRN,2003,3.288669787,11.05927304
BRN,2004,3.36874777,11.3285622
