ISO3,year,eci
ZMB,2010,-0.5750344519
ZMB,2011,-0.6266287917
ZMB,2005,-0.9764606828
ZMB,2009,-0.6511123594
ZMB,2020,-0.7156889009
ZMB,2023,-0.6527576251
ZMB,2016,-0.7281680065
ZMB,2022,-0.7806440028
ZMB,2019,-0.8571144157
ZMB,2021,-0.8404963234
ZMB,2017,-0.8664813347
ZMB,2018,-0.9478217722
ZWE,1998,-0.1873087999
ZWE,2000,-0.2386219325
ZWE,1999,-0.2740663113
ZWE,2002,-0.3374968599
ZWE,2004,-0.3438427129
ZWE,2003,-0.3618088951
ZWE,2001,-0.3496045961
ZWE,2005,-0.3012450544
ZWE,2006,-0.184864848
ZWE,2007,-0.1897292626
ZWE,2008,-0.2346214453
ZWE,2009,-0.3718699219
ZWE,2010,-0.4836634017
ZWE,2011,-0.675038041
ZWE,2016,-0.7109263244
ZWE,2012,-0.7543482839
ZWE,2013,-0.7651493847
ZWE,2014,-0.6305741354
ZWE,2017,-0.7954752686
ZWE,2019,-0.8179356901
ZWE,2022,-0.7732160107
ZWE,2015,-0.7092026711
ZWE,2020,-0.8736958292
ZWE,2018,-0.7824482906
ZWE,2021,-0.8746672223
ZWE,2023,-0.9753358023
BEN,2016,-0.4480989605
BEN,2023,-0.4314936661
BEN,2015,-0.4602590793
BEN,2020,-0.5944770999
BEN,2022,-0.5585216848
BEN,2019,-0.669580972
BEN,2018,-0.6548505177
BEN,2014,-0.5977749231
BEN,2021,-0.7146826714
BEN,2012,-1.0995346349
BFA,2011,-1.1303107998
BFA,2014,-1.1530153126
BFA,2015,-1.1267374516
BFA,2016,-1.3656087124
BFA,2013,-1.3399715835
BFA,2012,-1.4044821194
BFA,2017,-1.4846640982
BFA,2023,-1.36443
BFA,2018,-1.5110343798
BFA,2019,-1.5353124511
BFA,2022,-1.6477734805
BFA,2020,-1.5870819818
BFA,2021,-1.6608613195
CIV,2002,-0.6456013769
CIV,2000,-0.9992148776
CIV,1998,-1.3316847096
CIV,2001,-0.7962587772
CIV,2003,-0.7665103472
CIV,2005,-0.7437891705
CIV,2004,-0.7530898974
CIV,1999,-1.3996242801
CIV,2006,-0.8671570668
CIV,2007,-0.9631925918
CIV,2008,-1.0097110105
CIV,2015,-0.882908937
CIV,2019,-0.9615902384
CIV,2009,-1.1155092969
CIV,2016,-0.9527555985
CIV,2017,-0.9901754684
CIV,2020,-1.0317471886
CIV,2014,-0.9990246091
CIV,2018,-1.0036408498
CIV,2010,-1.2133858478
CIV,2022,-1.0322283318
CIV,2021,-1.094432192
CIV,2023,-1.0790273803
CIV,2011,-1.220292608
CIV,2013,-1.1465887996
CIV,2012,-1.1923839441
GHA,1998,-1.2914101087
GHA,1999,-1.2509361856
GHA,2000,-1.2693407329
GHA,2001,-1.177467059
GHA,2003,-1.2897962573
GHA,2002,-1.36154644
GHA,2004,-1.1801443067
GHA,2005,-1.1672969158
GHA,2006,-1.3533911463
GHA,2007,-1.1886187572
GHA,2008,-1.0709843299
GHA,2013,-0.9347273801
GHA,2016,-1.0486063117
GHA,2023,-0.9682588548
GHA,2010,-1.2111416175
GHA,2014,-1.0119032116
GHA,2011,-1.127175434
GHA,2009,-1.2284594322
