ISO3,year,exports_gdp,exports_usd,fdi_in_gdp,fdi_out_gdp,gross_CF_gdp,gross_fixed_CF_gdp,gross_fixed_CF_private_gdp,imports_gdp,imports_usd,interest_payments,life_expectancy,un_multidim_pov,wb_multidim_pov,fiscal_balance_gdp,oda_gni,remittances_gdp,pov_international,pov_national,rnd_gdp,researchers_per_million,school_enrollment_primary
BIH,2000,21.88381874547198,1218441300.8865397,2.6235914600339423,0,30.306384848606704,31.10702939822314,NA,63.47392438870679,3534083877.4106627,NA,75.292,NA,NA,NA,11.983019739880175,28.394702450388102,NA,NA,NA,NA,NA
BIH,2001,22.068719996169794,1280121565.1107676,2.042804291568918,0,31.579843562633197,29.013278175017803,NA,63.96701401692499,3710480449.841238,NA,75.573,NA,NA,NA,10.107039609728144,25.859615917700445,0.6,NA,NA,NA,NA
BIH,2002,19.12601188910019,1286840345.1113238,3.9797974774874656,0,31.474387027050533,28.968133266515935,NA,59.60146647349984,4010118373.376577,NA,75.994,NA,NA,NA,7.680484397606802,22.230683602347757,NA,NA,NA,NA,NA
BIH,2003,20.58798523031563,1749751115.4505775,4.492168289746514,0,30.298440264079197,27.7635078367024,NA,59.98147203362084,5097761943.342266,NA,76.449,NA,NA,NA,5.999873856627976,20.450852223554985,NA,NA,0.01826,55.34689,NA
BIH,2004,22.53624310365444,2288902820.480752,8.758860671109451,1.784908739111149,30.519998347308597,26.917764288576674,NA,59.27644307806398,6020436375.548596,NA,76.489,NA,NA,NA,6.435466080354662,20.215559783480185,0.4,17.7,0.0159,57.25219,NA
BIH,2005,24.31642289108027,2728982617.3983703,5.558444017450431,0.14647807645877486,29.454224580970788,29.378135389549207,NA,60.039039930718154,6738059173.840005,1.624470773938255,76.424,NA,NA,2.008016207077091,4.618108287351624,18.157078566960053,NA,NA,0.02697,61.48538,NA
BIH,2006,26.25834520154812,3378094597.298906,6.575773589320589,0.6360817677716033,25.81245477811805,23.266414836420857,NA,53.57160257365344,6891901977.586667,1.5321855875083223,76.028,NA,NA,2.7457192845140197,4.04958219300268,16.70398167140144,NA,NA,0.01969,164.44144,NA
BIH,2007,27.10155544438264,4276282415.082404,11.673764190393856,0.40940518180226615,30.469192759617535,27.43223873153081,NA,56.45030344478034,8907143371.987322,1.286841836407751,76.162,NA,NA,0.9165560546845012,3.687344268293883,17.025545244098225,0.2,18.2,0.02521,184.20563,108.796783447266
BIH,2008,26.848068924193058,5131416810.71543,5.257486278266784,0.20639380971441776,32.3119832270202,29.38700866185764,NA,59.31481091885736,11336719178.307903,1.1861028808060516,76.3,NA,NA,-1.6050799586835542,2.3462698892026195,14.219080168219984,NA,NA,0.01842,NA,106.622398376465
BIH,2009,25.00937878535689,4405139247.285479,0.7863711823536086,-0.5307588396709324,23.71320992199196,24.17088521136124,NA,48.73811544014537,8584706841.651804,1.1397593738465372,76.701,NA,NA,-4.181932426903986,2.2815079808204364,12.075844255494465,NA,NA,0.02106,NA,108.094970703125
BIH,2010,29.695542186820408,5100600105.638095,2.584024491424698,0.47262652914847897,21.914668588814944,21.19037904293186,NA,51.2726737758619,8806756368.758211,1.0887467017373924,76.827,NA,NA,-2.18914487386032,2.361997770896196,10.609404646769455,NA,NA,NA,NA,88.7070770263672
BIH,2011,32.03597181103982,5972861400.33278,2.5295273805817553,-0.02588204798574564,22.675906710092715,22.45294603057985,NA,55.80037590261574,10403552397.86856,1.4378643979386092,76.963,NA,NA,-1.1435924497265897,3.329631231697622,10.503141337143648,0.2,17.9,NA,NA,89.0985412597656
BIH,2012,32.35054143794094,5572942366.690535,2.275398813061557,0.34597720087616984,22.8835705606596,22.313671030291463,NA,55.794567424911975,9611582830.227104,1.7688886591065112,77.037,NA,NA,-1.6123176392700649,3.271718823178245,10.714248927723876,NA,NA,0.26533,155.74572,89.2094192504883
BIH,2013,33.74304555981038,6134185102.891889,1.7233793181115615,0.47451225381877304,21.668585040641357,21.458669381754305,NA,54.18819246824582,9850930687.396433,1.7936821878728897,77.129,NA,NA,-2.077415103129328,2.8294043142596452,10.770535825657678,NA,NA,0.32132,228.0143,89.4869613647461
BIH,2014,33.98911911436762,6307950241.797243,2.935902536841486,0.05367504813261171,23.034013975183516,23.401769977426383,NA,56.56315892519861,10497406267.531063,1.9614890928181303,77.089,NA,NA,-4.028258795311277,3.3681673303218225,11.353897913529424,NA,NA,0.25725,283.73763,91.2244415283203
