year,COCOA,COFFEE_ARABIC,COFFEE_ROBUS,TEA_AVG,COCONUT_OIL,PALM_OIL,SOYBEANS,BARLEY,MAIZE,RICE_05,WHEAT_US_HRW,BANANA_US,ORANGE,BEEF,CHICKEN,LAMB,SUGAR_WLD,TOBAC_US,PLYWOOD,COTTON_A_INDX,RUBBER1_MYSG,CRUDE_PETRO,NGAS_EUR,COAL_AUS,PHOSROCK,DAP,TSP,UREA_EE_BULK,POTASH,ALUMINUM,IRON_ORE,COPPER,LEAD,TIN,NICKEL,ZINC,GOLD,PLATINUM,SILVER
2013,2.43884667208,3.07598979568,2.07585446598,2.86199508388,939.46916666667,870.72583333333,551.38916666667,203.00875833333001,259.38922323788,505.89166666667,312.24786689792,0.92407451068,0.96731981632,4.1283162965,2.17368799738,6.9270250000000004,0.39004470693,4588.81944444445,560.23496041644,1.99269630954,2.79455,104.07749749759,11.78583333333,84.562169190899994,126.32291666667,410.97291666667002,380.75,339.61458333333,395,1846.66896845003,135.36118854173,7332.10047748447,2139.79005854351,22282.7966365911,15031.7973841678,1910.25647037142,1411.46230174415,1486.54513473242,23.84968611739
2014,3.06224,4.423790492,2.21645146067,2.72047791906,1281.12416666667,837.46916666667,484.8575,145.90297638889001,192.88121953333,422.83333333333,284.8859214,0.92778906573,0.78355015653,5.050453727,2.32242152317,7.9882666666700004,0.37498749017,4990.77222222222,517.32692673097995,1.83194736083,1.95149166667,96.235,10.05166666667,70.13,110.45833333333,429.58645833332997,382,308.4375,296.625,1867.42,96.95246212121,6863.3975,2095.45833333333,21898.8716666667,16893.3758333333,2160.97083333333,1265.5775,1383.57083333333,19.0715
2015,3.135045,3.526069228,1.94116791,2.77714956442,1103.51166666667,663.39083333333,392.1225,121.33064930556,169.75022306667,386,204.449128614,0.95691416276,0.67567491783,4.55915416,1.99094004871,7.4981749999999998,0.29626418433,4908.29513888889,451.24834884848002,1.55241991667,1.571325,50.75277777778,6.82118307834,58.939166666669998,120.31458333333,416.62395833332999,377.6,277.9375,296.06458333333,1664.68083333333,55.85416666667,5510.45666666667,1787.81916666667,16066.6316666667,11862.635,1931.67833333333,1160.66333333333,1053.20333333333,15.72066666667
2016,2.89076166667,3.61107570083,1.9531279735,2.68493362968,1481.77666666667,735.70333333333,405.4475,103.91568229167,159.1608872,396.16666666667,166.63254345000001,1.00115009271,0.88967978415,4.0609100400000004,1.85255761516,7.3094333333300003,0.39806251283,4790.49652777778,503.26889129235002,1.63612198933,1.60518333333,42.81194444444,4.563422844,66.123333333329995,110.45625,315.81354166667001,290.27083333333,194.12916666667,260.33333333333,1604.18166666667,58.42416666667,4867.8975,1866.65333333333,17933.7616666667,9595.17916666667,2089.975,1248.98833333333,987.08666666667,17.14675
2017,2.02941083333,3.32320744433,2.22552714633,3.14847924252,1650.65,750.81333333333,393.37811183333,97.638639236109995,154.53153846667,398.91666666667,174.195615525,1.07588211775,0.81203535564,4.3872489155,2.12447739647,8.2527500000000007,0.3531250085,4627.36458333333,486.85558973947002,1.84298883267,1.99544166667,52.805,5.71704330393,88.518333333330006,89.6875,323.02708333332998,283.20416666667,213.875,218.22916666667,1967.65416666667,71.76,6169.94,2314.665,20061.1691666667,10409.635,2890.86666666667,1257.55916666667,948.45333333333,17.06616666667
2018,2.29376833333,2.925971664,1.86926055433,2.84747118889,996.77,638.65583333333,394.42416666667,125.88533298611,164.4145468,420.66666666667,209.9288346,1.14714875573,0.78985375213,4.19504279517,2.24302356181,7.8532166666699998,0.27561424367,4865.95694444445,494.69765930267999,2.014581756,1.565325,68.3475,7.68167965387,107.02249999999999,87.9,393.42500000000001,346.73583333333,249.44958333333,215.5,2108.475,69.75166666667,6529.79833333333,2240.435,20145.2058333333,13114.0641666667,2922.37916666667,1269.22666666667,879.54583333333,15.71375
2019,2.34082166667,2.87976650317,1.6217735875,2.56281378317,735.65083333333,601.36666666667,368.94666666667,128.06698819444,170.07008806667,418,201.692128575,1.14054637813,0.56000614275,4.76366022275,1.99839617083,8.10314166667,0.28002348367,4579.35833333333,500.93326250831001,1.71693968417,1.64039166667,61.4075,4.80235126619,77.885833333329998,87.95833333333,306.35500000000002,294.54833333333,245.28166666667,255.5,1794.48833333333,93.84916666667,6010.145,1996.5075,18661.1566666667,13913.9083333333,2550.41,1392.49833333333,863.98916666667,16.21758333333
2020,2.36986416667,3.3236299965,1.51587834017,2.69930016307,1010.40371414799,751.76615762125,406.63984166467,97.600364583333103,165.46600046667,496.75,231.56548795,1.21633019063,0.60298520361,4.66730914283,1.6316943775,6.35991753333,0.2831283235,4336.28125,511.63210349447002,1.5858382815,1.728025,41.25777777778,3.24202403939,60.784999999999997,76.05166666667,312.42416666666998,265.0375,229.10083333333,241.0725,1703.98666666667,108.91833333333,6173.77083333333,1824.88083333333,17124.5991666667,13787.2566666667,2266.44916666667,1770.25416666667,883.39333333333,20.53658333333
2021,2.42653166667,4.51193854833,1.981181763,2.68890367732,1636.31333333333,1130.57666666667,583.3225,..,259.54567977893,458.25,315.2375,1.20547932656,0.65258965201,5.34240971642,1.991483073,8.6643227333299997,0.389556354,4154.73996290948,497.71842598572999,2.23070800333,2.07101666667,69.07055555556,16.11587794838,138.05000000000001,123.21333333333,600.96333333332996,538.18916666667,483.2075,542.81416666667,2472.84833333333,161.71,9317.05,2200.365,32384.1483333333,18464.9658333333,3002.52083333333,1799.62916666667,1091.13333333333,25.16458333333
2022,2.39297916667,5.6304341335,2.28510700183,3.05078222889,1634.6375,1275.99166666667,675.395,..,318.80665693333,436.75,429.97166666667,1.48892226771,0.91928464289,5.62164321125,1.6831575,8.2651431541699996,0.40783632817,4269.86452628539,418.18531529078001,2.86486694633,1.81019166667,97.10138888889,40.3401571422,344.89333333333002,266.15666666667,772.15833333333001,716.05333333333,700.015,863.41833333333,2705.01916666667,121.30083333333,8822.36583333333,2150.5975,31335.405,25833.725,3481.37833333333,1800.6025,961.71583333333,21.79441666667
2023,3.28066666667,4.54004745333,2.62682310183,2.74039082736,1075.185,886.45333333333,597.89833333333,..,252.6552851537,553.66666666667,340.43,1.59656972865,1.5741268385,4.90295240111,1.53327891667,6.1229447958299996,0.51646897867,5015.69097222222,389.54568695012,2.09497689867,1.57671666667,80.75569444444,13.1134032462,172.77916666666999,321.65909090909093,550.04833333332999,480.22083333333,358.00166666667,383.22083333333,2255.73916666667,120.57416666667,8490.29083333333,2135.7975,25938.1133333333,21521.115,2652.60416666667,1942.66583333333,966.355,23.39858333333
2024,7.32964583333,5.62214843667,4.41429225417,3.0402931034,1518.65886928852,963.36482583333,462.49482641928,..,190.60477617365,588.41666666667,268.67333333333,1.23326672448,2.2598478363,5.9312988625,1.46280241667,5.3460799249999997,0.44860342633,5899.35069444444,360.88292032228998,1.91083601317,2.27650833333,78.73372222222,10.96230953259,136.14666666667,152.5,563.66499999999996,474.56166666667,338.26916666667,295.10583333333,2419.01666666667,109.3975,9142.14,2069.44666666667,30066.2691666667,16813.9625,2775.8425,2387.7025,955.16833333333,28.26916666667
