ISO3,year,output_gap_pct
KOR,1992,0.451
KOR,1993,-0.598
KOR,1994,0.838
KOR,1995,2.764
KOR,1996,3.539
KOR,1997,3.142
KOR,1998,-7.158
KOR,1999,-2.55
KOR,2000,0.351
KOR,2001,-0.346
KOR,2002,1.805
KOR,2003,-0.091
KOR,2004,0.121
KOR,2005,-0.267
KOR,2006,0.302
KOR,2007,1.598
KOR,2008,0.586
KOR,2009,-2.211
KOR,2010,0.54
KOR,2011,0.561
KOR,2012,-0.387
KOR,2013,-0.487
KOR,2014,-0.576
KOR,2015,-0.853
KOR,2016,-0.83
KOR,2017,-0.518
KOR,2018,-0.316
KOR,2019,-0.701
KOR,2020,-2.643
KOR,2021,-0.376
KOR,2022,0.261
KOR,2023,-0.208
KOR,2024,-0.165
KOR,2025,-1.1
KOR,2026,-1.032
LUX,1990,8.04
LUX,1991,11.37
LUX,1992,7.808
LUX,1993,6.966
LUX,1994,5.84
LUX,1995,2.343
LUX,1996,-2.143
LUX,1997,-2.356
LUX,1998,-2.143
LUX,1999,-0.032
LUX,2000,2.619
LUX,2001,0.95
LUX,2002,-0.019
LUX,2003,-1.281
LUX,2004,-0.935
LUX,2005,-2.252
LUX,2006,-0.057
LUX,2007,4.81
LUX,2008,2.268
LUX,2009,-2.539
LUX,2010,-0.261
LUX,2011,-0.744
LUX,2012,-0.96
LUX,2013,-0.088
LUX,2014,-0.054
LUX,2015,-0.531
LUX,2016,1.627
LUX,2017,0.39
LUX,2018,-0.312
LUX,2019,0.306
LUX,2020,-2.088
LUX,2021,2.971
LUX,2022,0.555
LUX,2023,-0.326
LUX,2024,-0.915
LUX,2025,-0.926
LUX,2026,-0.378
MLT,2000,3.213
MLT,2001,0.694
MLT,2002,1.061
MLT,2003,2.346
MLT,2004,0.284
MLT,2005,0.546
MLT,2006,0.072
MLT,2007,1.96
MLT,2008,2.945
MLT,2009,-2.198
MLT,2010,-0.365
MLT,2011,-3.923
MLT,2012,-4.959
MLT,2013,-4.426
MLT,2014,-3.022
MLT,2015,-0.01
MLT,2016,-2.218
MLT,2017,3.795
MLT,2018,4.643
MLT,2019,2.597
MLT,2020,-6.566
MLT,2021,0.068
MLT,2022,-3.011
MLT,2023,1.09
MLT,2024,1.22
MLT,2025,0.823
MLT,2026,0.5
NLD,1990,1
NLD,1991,0.209
NLD,1992,-0.709
NLD,1993,-1.64
NLD,1994,-1.59
NLD,1995,-1.87
NLD,1996,-1.51
NLD,1997,-0.51
NLD,1998,0.71
NLD,1999,2.27
NLD,2000,3.27
NLD,2001,2.82
NLD,2002,0.67
NLD,2003,-1.25
NLD,2004,-1.3
NLD,2005,-0.887
NLD,2006,1.133
NLD,2007,3.644
NLD,2008,4.559
NLD,2009,-0.385
NLD,2010,-0.116
NLD,2011,0.625
NLD,2012,-1.404
NLD,2013,-2.553
NLD,2014,-2.228
NLD,2015,-1.546
NLD,2016,-0.692
NLD,2017,0.419
NLD,2018,0.956
NLD,2019,1.495
NLD,2020,-4.146
NLD,2021,0.072
NLD,2022,3.252
NLD,2023,0.912
NLD,2024,0.371
NLD,2025,0.258
NLD,2026,0.012
NOR,1990,-2.715
NOR,1991,-2.71
NOR,1992,-2.396
NOR,1993,-2.908
NOR,1994,-1.445
NOR,1995,-0.86
NOR,1996,0.589
NOR,1997,2.406
NOR,1998,1.822
NOR,1999,0.838
NOR,2000,1.28
NOR,2001,0.689
NOR,2002,-0.39
NOR,2003,-1.707
NOR,2004,0.106
NOR,2005,0.823
NOR,2006,1.506
NOR,2007,2.828
NOR,2008,1.869
NOR,2009,-1.4
NOR,2010,-1.858
NOR,2011,-2.003
NOR,2012,-0.612
NOR,2013,-0.906
NOR,2014,-0.228
NOR,2015,0.236
NOR,2016,-0.004
NOR,2017,1.021
NOR,2018,0.419
NOR,2019,0.098
NOR,2020,-2.612
NOR,2021,-0.302
NOR,2022,1.399
NOR,2023,-0.037
NOR,2024,0.552
NOR,2025,0.253
NOR,2026,0.398
NZL,1995,-0.193
NZL,1996,0.561
NZL,1997,-0.062
NZL,1998,-2.431
NZL,1999,-1.141
NZL,2000,-0.129
NZL,2001,-0.755
NZL,2002,0.475
NZL,2003,1.447
NZL,2004,2.869
NZL,2005,2.935
NZL,2006,2.82
NZL,2007,3.631
NZL,2008,1.24
NZL,2009,-1.74
NZL,2010,-2.073
NZL,2011,-2.526
NZL,2012,-2.261
NZL,2013,-2.522
NZL,2014,-1.517
NZL,2015,-0.85
NZL,2016,0.08
NZL,2017,0.409
NZL,2018,0.839
NZL,2019,0.729
NZL,2020,-2.192
NZL,2021,1.854
NZL,2022,2.784
NZL,2023,2.443
NZL,2024,-0.115
NZL,2025,-0.63
NZL,2026,-0.449
PRT,1990,4.841
PRT,1991,4.383
PRT,1992,3.89
PRT,1993,-0.248
PRT,1994,-1.992
PRT,1995,-2.835
PRT,1996,-1.544
PRT,1997,0.073
PRT,1998,1.614
PRT,1999,2.467
PRT,2000,3.245
PRT,2001,2.685
PRT,2002,1.594
PRT,2003,-0.523
PRT,2004,0.141
PRT,2005,0.125
PRT,2006,1.001
PRT,2007,2.865
PRT,2008,2.597
PRT,2009,-0.518
PRT,2010,1.257
PRT,2011,-0.002
PRT,2012,-3.061
PRT,2013,-3.5
PRT,2014,-3.074
PRT,2015,-2.449
PRT,2016,-1.974
PRT,2017,-0.134
PRT,2018,1.254
PRT,2019,2.248
PRT,2020,-5.2
PRT,2021,-3.684
PRT,2022,0.646
PRT,2023,0.944
PRT,2024,0.663
PRT,2025,0.436
PRT,2026,0.722
SVK,1993,2.378
SVK,1994,2.481
SVK,1995,2.996
SVK,1996,2.069
SVK,1997,6.224
SVK,1998,5.373
SVK,1999,0.344
SVK,2000,-3.207
SVK,2001,-4.719
SVK,2002,-4.962
SVK,2003,-4.919
SVK,2004,-4.459
SVK,2005,-2.981
SVK,2006,0.908
SVK,2007,7.045
SVK,2008,8.334
SVK,2009,-1.322
SVK,2010,1.871
SVK,2011,1.249
SVK,2012,-0.158
SVK,2013,-2.264
SVK,2014,-2.35
SVK,2015,-0.048
SVK,2016,-0.789
SVK,2017,-0.588
SVK,2018,0.812
SVK,2019,0.537
SVK,2020,-2.605
SVK,2021,1.806
SVK,2022,0.559
SVK,2023,0.603
SVK,2024,0.446
SVK,2025,-0.578
SVK,2026,-0.934
SVN,1995,0.865
SVN,1996,0.361
SVN,1997,1.657
SVN,1998,2.071
SVN,1999,-1.796
SVN,2000,-2.52
SVN,2001,-4.061
SVN,2002,-2.973
SVN,2003,-1.589
SVN,2004,-0.17
SVN,2005,0.736
SVN,2006,3.594
SVN,2007,7.697
SVN,2008,8.208
SVN,2009,-1.367
SVN,2010,-0.972
SVN,2011,-0.873
SVN,2012,-4.199
SVN,2013,-5.748
SVN,2014,-4.245
SVN,2015,-3.348
SVN,2016,-2.021
SVN,2017,0.905
SVN,2018,2.7
SVN,2019,3.481
SVN,2020,-3.044
SVN,2021,2.389
SVN,2022,2.384
SVN,2023,2.094
SVN,2024,1.1
SVN,2025,-0.262
SVN,2026,-0.318
SWE,1990,2.1
SWE,1991,-0.1
SWE,1992,-2.5
SWE,1993,-6.3
SWE,1994,-5.3
SWE,1995,-4
SWE,1996,-4.9
SWE,1997,-4.2
SWE,1998,-2.3
SWE,1999,-0.6
SWE,2000,1.4
SWE,2001,0.7
SWE,2002,0.6
SWE,2003,-0.2
SWE,2004,0.4
SWE,2005,-0.3
SWE,2006,1.7
SWE,2007,2.6
SWE,2008,-0.5
SWE,2009,-5.8
SWE,2010,-2.6
SWE,2011,-1.2
SWE,2012,-2.7
SWE,2013,-3.1
SWE,2014,-2.1
SWE,2015,0.2
SWE,2016,0.6
SWE,2017,0.8
SWE,2018,0.7
SWE,2019,0.3
SWE,2020,-1.5
SWE,2021,2.1
SWE,2022,1
SWE,2023,-1.1
SWE,2024,-1.6
SWE,2025,-1.892
SWE,2026,-1.085
USA,1990,1.974
USA,1991,-0.801
USA,1992,-0.197
USA,1993,-0.435
USA,1994,0.41
USA,1995,-0.102
USA,1996,0.29
USA,1997,1.171
USA,1998,2.011
