ISO3,year,gdp_usd,gdp_growth,gdp_pc,gdp_pc_growth
PAN,2021,63.4516392634718,15.8358558239822,14602.0081588417,14.4458484791926
PAN,2022,70.3103281029264,10.8093170153967,15976.8131878027,9.41517778928613
PAN,2023,75.4547772324442,7.31677588246622,16922.82028081,5.92112508225013
PAN,2024,77.4920568877201,2.70000088794892,17161.0531472988,1.40776101462787
PAN,2025,80.4367563894532,3.80000172920918,17596.4626248123,2.53719555423703
PER,1990,59.592275127469,-4.98256353646605,2706.92232626308,-7.06369795066729
PER,1991,60.9147821177956,2.2192591027909,2709.27733967252,0.0869996669868422
PER,1992,60.5855321621432,-0.540509124723931,2640.31353854877,-2.54546849500789
PER,1993,63.76238119661,5.2435770077329,2723.28402448293,3.14244822528773
PER,1994,71.6104885624652,12.3083661848445,2998.57670382941,10.1088493477559
PER,1995,76.9178247651677,7.41139504735115,3158.98314685624,5.34941937026243
PER,1996,79.0707339733941,2.79897307912611,3186.90052853185,0.883745825089099
PER,1997,84.1920065810864,6.47682442079708,3331.15125828327,4.52636436123332
PER,1998,83.8623632563114,-0.391537555833831,3258.29721493806,-2.18705299448794
PER,1999,85.1160306501754,1.49491064308833,3250.377776666,-0.243054508218476
PER,2000,87.4093726351854,2.69437139806909,3286.27283550932,1.1043349822597
PER,2001,87.9494684405746,0.617892325624325,3261.66400313413,-0.748837166204863
PER,2002,92.7458181529636,5.45352893818766,3398.7496564163,4.20293608263904
PER,2003,96.6087029373201,4.16502313666111,3502.79139120879,3.06117676528696
PER,2004,101.398758743746,4.95820320611741,3640.60272257753,3.93432882456603
PER,2005,107.771731899689,6.28506032509601,3835.13190192333,5.34332345958552
PER,2006,115.885756792451,7.52889904405942,4091.36237584823,6.68113849738523
PER,2007,125.757354925183,8.51838776909548,4407.7908825572,7.73406209571854
PER,2008,137.234685816545,9.12656830146423,4778.52605929792,8.41090665638932
PER,2009,138.73853597241,1.0958236592427,4801.17117326236,0.473893281807469
PER,2010,150.298832447244,8.33243366293867,5167.39098765094,7.62771834564151
PER,2011,159.808607231178,6.32724461600338,5453.45817068576,5.53600808838474
PER,2012,169.620381810699,6.13970345497592,5740.04334872535,5.25510912653708
PER,2013,179.547435713253,5.85251241424074,6021.46097832158,4.90270913474402
PER,2014,183.824546679104,2.38216210042747,6103.91847393142,1.36939350610594
PER,2015,189.802961890097,3.25223987709826,6231.71103074756,2.09361506648431
PER,2016,197.306480779211,3.95332022977552,6392.25435772561,2.57623189178566
PER,2017,202.276303972457,2.5188342388039,6457.41893106238,1.01943023055735
PER,2018,210.305347097731,3.96934439061527,6593.1434524236,2.10183856445083
PER,2019,215.017542514852,2.24064460659221,6626.2607401722,0.502298910793919
PER,2020,191.509007943405,-10.9333100436783,5831.82993220887,-11.9891268864057
PER,2021,217.085473318534,13.3552283779192,6547.41964995939,12.2704147080552
PER,2022,223.002150815258,2.72550595223026,6661.66491429503,1.74488990233507
PER,2023,221.775215802948,-0.550189766253483,6552.55349024803,-1.63790021639884
PER,2024,229.093741368177,3.29997449838204,6695.15339971634,2.17624945268346
PER,2025,236.424733806531,3.19999681989255,6837.69628466284,2.1290458401227
PHL,1990,107.10899077991,3.08267252823706,1704.0738197528501,0.47602088820744
PHL,1991,106.64157776883,-0.436390080492832,1656.38168012476,-2.79871324089798
PHL,1992,107.086943993298,0.417629065309554,1624.34761626438,-1.93397839669179
PHL,1993,109.423463301049,2.18188998641888,1620.3532809368,-0.24590397323756
PHL,1994,114.209280020471,4.37366591683823,1654.74432387999,2.12244103479157
PHL,1995,119.491716327905,4.62522511873553,1693.80687284062,2.36063954998422
PHL,1996,126.494346582634,5.86034787174065,1752.23607897912,3.4495789971918
PHL,1997,133.05486413898,5.18641167260434,1800.25715660935,2.74055980277494
PHL,1998,132.370841592084,-0.514090598132055,1746.52398933262,-2.98474954422213
PHL,1999,136.800567187514,3.34645118377356,1759.41912230781,0.73833128281957106
PHL,2000,142.795858885932,4.38250500102093,1793.34564430406,1.92827971266713
PHL,2001,147.150034973177,3.04923134411288,1807.7069423249,0.800810377321736
PHL,2002,152.618505508058,3.71625500182717,1837.25227754109,1.63440956741549
PHL,2003,160.382073257472,5.08691113411845,1892.81954365171,3.02447664862857
PHL,2004,170.91793814334,6.56922851281092,1978.34272123768,4.51829535851946
PHL,2005,179.365565983374,4.94250511783636,2037.87542517998,3.00922096577134
PHL,2006,188.901387106497,5.31641682217101,2110.41813283972,3.55972238358686
PHL,2007,201.216419274657,6.51929155036723,2209.34408734939,4.6875049531796
PHL,2008,209.9582410654,4.34448730489043,2264.94380625183,2.51657128560489
PHL,2009,212.999114693044,1.44832306282143,2256.72307289664,-0.362955289773714
PHL,2010,228.621523157092,7.33449455250614,2373.14039792128,5.15868900454916
PHL,2011,237.442281591685,3.8582362293736,2416.74942703705,1.83760847668235
PHL,2012,253.818604093878,6.89696982037724,2533.7390249014,4.84078310128219
PHL,2013,270.952680665446,6.75052036974823,2654.41228871544,4.76265561007167
PHL,2014,288.15268711544,6.34797426906847,2776.91680511391,4.61512768454506
PHL,2015,306.445591183473,6.34833714415585,2909.85552080291,4.78727758225168
PHL,2016,328.35474908316297,7.14944464205804,3076.33425960397,5.72120291233999
PHL,2017,351.112864050716,6.93095349803796,3247.4459953444,5.56219582466486
PHL,2018,373.37870259269,6.34150463332425,3410.93247755053,5.03430949861847
PHL,2019,396.224064766027,6.11854988372442,3575.87832967336,4.83579939528104
PHL,2020,358.510196410095,-9.51831847422034,3198.6630380087,-10.5488849700073
PHL,2021,378.998125897185,5.71474108470106,3350.97208199564,4.76164704368995
PHL,2022,407.729927382642,7.58098774695561,3577.69750202596,6.76595968222126
PHL,2023,430.342117552613,5.54587452413075,3745.6491123625,4.69440499766764
PHL,2024,454.837045284164,5.69196616655967,3926.30037777778,4.82296285626546
PHL,2025,477.579556847157,5.00014495274541,4089.32254652841,4.15205544826147
PNG,1990,7.2441277516711,-2.99579103432752,1859.14617617052,-5.49535759009424
PNG,1991,7.93439685853304,9.52867109090813,1972.82904765485,6.11478930174764
PNG,1992,9.0332379474376,13.8490815180591,2167.96028401322,9.89093487802847
PNG,1993,10.6774937099709,18.2022855160125,2471.14325765053,13.9847106920278
PNG,1994,11.3119619662395,5.94210845262366,2524.87428401528,2.17433878826718
PNG,1995,10.9372590037728,-3.3124489242888,2354.99662246163,-6.72816316555343
PNG,1996,11.6586751247825,6.59594986971427,2422.14849972452,2.85146384595234
PNG,1997,10.9190381191628,-6.34409139720718,2189.11271959724,-9.6210360410925
PNG,1998,11.4302897651486,4.68220405869335,2212.43262029165,1.06526724209508
PNG,1999,11.6423508555993,1.85525559550876,2176.41168639144,-1.6281143918166
PNG,2000,11.3566158076815,-2.45427277928532,2051.01761649883,-5.76150508089353
PNG,2001,11.3517821453905,-0.0425625236677662,1981.65504983307,-3.38186108728647
PNG,2002,11.579550161587,2.00645161507961,1954.68337230535,-1.36106824091268
PNG,2003,12.0875241031086,4.38681930155429,1973.79654221069,0.977814114354624
PNG,2004,12.1560742199993,0.567114624185705,1920.98537604282,-2.67561347071401
PNG,2005,12.6337279175406,3.92934173399011,1932.97300336229,0.624035324213023
PNG,2006,12.9234546930608,2.29328015777512,1915.23280353377,-0.917767594149854
PNG,2007,13.9334471473814,7.8151893461033,2000.97038813694,4.47661424997443
PNG,2008,13.8921403711702,-0.296457694742091,1934.02986260761,-3.3454031067225
PNG,2009,14.8368644410872,6.80042127905324,2003.23886341683,3.57848666906846
PNG,2010,16.3396132919737,10.1284800225378,2140.50750773578,6.85233532684255
PNG,2011,16.5205799393738,1.10753323329226,2102.02985583963,-1.79759481137477
PNG,2012,17.2899636196123,4.65712271035241,2139.47892870067,1.78156712460571
PNG,2013,17.9513286443117,3.82513832446265,2162.10786473406,1.05768445437004
PNG,2014,20.3825900320739,13.5436291983463,2391.35696863202,10.6030373246969
PNG,2015,21.7233412516334,6.57792369590792,2484.5853875818502,3.89855718626392
PNG,2016,22.915985832803,5.49015258451526,2557.09740395793,2.91847552265673
PNG,2017,23.7259234672195,3.53437831706569,2584.88536272287,1.08669926776863
PNG,2018,23.6596688464364,-0.279249913600299,2518.45612927848,-2.56991023286273
PNG,2019,24.7197427789657,4.48051043913495,2572.55875256304,2.14824561188811
PNG,2020,23.9367628500833,-3.16742749260605,2438.60862435553,-5.20688314986209
PNG,2021,23.7452703077447,-0.799993480897431,2371.46878462982,-2.75320275074715
PNG,2022,24.9800220808492,5.19999038588208,2448.2611315023,3.23817658365133
PNG,2023,25.6544848732381,2.70000879184948,2469.23832004089,0.856819898362748
PNG,2024,26.6293546843504,3.79999760638054,2517.78467818097,1.96604587520217
PNG,2025,27.8220173264241,4.47875157400898,2585.01257862362,2.67012111977833
POL,1990,196.578198760177,-1.47217722240252,5165.57215674277,-1.77604732396715
POL,1991,182.787100265046,-7.01557882924541,4790.90383935601,-7.25318137116122
POL,1992,187.384156735944,2.51497860857328,4901.02843297012,2.29861832561666
POL,1993,194.389158134582,3.73831038902061,5076.11325541053,3.57240984897338
POL,1994,204.677791389174,5.29280200260402,5337.89173349317,5.15706535514366
POL,1995,218.906698009424,6.95185663460435,5705.94547345933,6.89511436990697
POL,1996,232.246626648439,6.09388783455149,6054.52674272964,6.10908868463082
