ISO3,year,fiscal_balance_gdp,primary_fiscal_balance_gdp,net_debt_gdp,government_investment_gdp,private_sector_investment_gdp,output_gap_pct
DJI,2020,-2.57722628292072,-1.9420914951917,40.8133508601977,NA,NA,NA
DJI,2021,-3.05487193147316,-2.8988114272649,40.1648355886338,NA,NA,NA
DJI,2022,-1.48360588231701,-0.736433279672578,38.155313614192,NA,NA,NA
DJI,2023,-3.45725170004519,-3.28803770209549,35.4367032161573,NA,NA,NA
DJI,2024,-2.59910293174607,-2.35546938625024,32.8569212662906,NA,NA,NA
DJI,2025,-1.0374427713773,-0.777399053115777,30.4903956126149,NA,NA,NA
DMA,1991,-3.08412741187612,-1.48307766254152,NA,13.89736088,11.01302429,NA
DMA,1992,-2.27863496473575,-0.443067909809729,NA,9.545411038,7.564303093,NA
DMA,1993,-1.46321338251943,0.392201525211393,NA,8.905115434,7.056898153,NA
DMA,1994,-3.41825598058206,-1.5550262862484,NA,8.90816351,7.059314012,NA
DMA,1995,-2.97266956103387,-1.03495907744339,NA,10.77327671,8.537331028,NA
DMA,1996,-1.61891773937298,0.383642665060932,NA,9.96602598,7.897621385,NA
DMA,1997,-2.31147315600312,-0.187559252707711,NA,10.66855815,8.454346011,NA
DMA,1998,-6.07692118589336,-4.05510997848839,NA,9.393540794,7.443953275,NA
DMA,1999,-9.19937843434541,-6.07213402232075,NA,9.576473061,7.588918918,NA
DMA,2000,-8.74885407600909,-4.75264496882379,NA,11.56853224,5.950530857,NA
DMA,2001,-6.47624213027447,-2.46248495962675,NA,10.21353849,3.776354216,NA
DMA,2002,-4.13275567629695,0.0514643313284295,NA,4.997133874,6.11273333,NA
DMA,2003,0.87913497417521,4.68011971879912,NA,6.217497897,7.735710665,NA
DMA,2004,-0.670707489816807,3.75490486762169,NA,7.776231784,7.662689483,NA
DMA,2005,0.980914690840779,5.34999905133629,NA,7.825239004,9.806864731,NA
DMA,2006,3.04461264636149,4.93223005016535,NA,7.853232039,8.976618594,NA
DMA,2007,1.87679120285681,3.87065233747509,NA,9.499081538,7.56179909,NA
DMA,2008,0.723673589367507,2.48998135902648,NA,11.19861146,7.316910654,NA
DMA,2009,-0.310820913612541,1.03677575559029,NA,12.11622893,4.892424676,NA
DMA,2010,-3.4073182782957,-1.86157389168473,NA,14.48732877,1.642210093,NA
DMA,2011,-4.33572436703948,-2.82637688003134,NA,13.53085872,1.024020334,NA
DMA,2012,-5.48257659508448,-3.45680692758206,NA,10.97104497,2.376016185,NA
DMA,2013,-2.94676664389773,-0.858400164040437,NA,9.621533616,2.598978153,NA
DMA,2014,-5.65278436476985,-4.03202672008882,NA,7.835384901,5.334951177,NA
DMA,2015,11.7528530894047,13.6968191699943,NA,5.875305734,5.800205232,NA
DMA,2016,11.0432196433178,12.6004275229568,NA,8.850876709,4.494295713,NA
DMA,2017,-3.37014689190606,-1.260499274042,NA,11.75036503,3.063247027,NA
DMA,2018,-18.0642426167415,-16.0184605233828,NA,22.45602026,6.460795542,NA
DMA,2019,-7.95401195763759,-5.70034542400951,NA,13.95749932,5.067700914,NA
DMA,2020,-7.91131708569194,-5.68296661264253,NA,NA,NA,NA
DMA,2021,-8.60667513286909,-5.86200552867491,NA,NA,NA,NA
DMA,2022,-7.4873740408911,-4.48027785403427,NA,NA,NA,NA
DMA,2023,-4.66375595198383,-2.02905696343486,NA,NA,NA,NA
DMA,2024,-2.28028967743642,-0.301085541419778,NA,NA,NA,NA
DMA,2025,-2.155582117572,0.303462888112125,NA,NA,NA,NA
DNK,1991,-3.15320425624165,1.18582136410456,NA,2.869636763,13.94054848,-1.764
DNK,1992,-2.59779361912745,0.592426044218593,NA,3.202428619,13.2004656,-1.822
DNK,1993,-3.7261873072973,-0.159281144151591,NA,3.134425543,12.83318925,-4.001
DNK,1994,-3.8533084500911,-0.502233042580978,NA,3.162303482,13.03690686,-1.338
DNK,1995,-3.50445540538975,0.139533177030425,NA,3.316941693,14.06747998,-0.807
DNK,1996,-2.39719191608862,0.759878838832283,49.962700536358,3.448422539,14.34024573,-0.403
DNK,1997,-1.21948341728043,1.96945741596769,48.2587860402229,3.21861341,15.75832789,0.252
DNK,1998,-0.282901542163551,2.70853125754081,45.4343420366549,2.96378571,16.84219151,0.211
DNK,1999,1.06375606375606,3.84728198681687,42.016632016632,2.945087733,16.24972138,0.939
DNK,2000,1.79172734492071,4.20352297125981,39.745381351043,3.020063289,16.98941499,2.549
