ISO3,year,fiscal_balance_gdp,primary_fiscal_balance_gdp,net_debt_gdp
SOM,2024,0.165471590475152,0.215204161202644,NA
SOM,2025,-0.241140990040981,-0.194038644655863,NA
SOM,2026,-1.17292549560806,-1.10755539630402,NA
SOM,2027,-0.735213428319092,-0.669272808810982,NA
SOM,2028,-1.21279027830388,-1.13772075810504,NA
SOM,2029,-1.98542997954716,-1.87953543513985,NA
SOM,2030,-1.99180426227371,-1.87727015083716,NA
SRB,2006,-0.904996478632247,0.446811235619685,29.7744402365168
SRB,2007,-0.802001532113879,-0.118944499820191,24.2032616784398
SRB,2008,-4.25452478539642,-3.68545599433521,26.1692602953775
SRB,2009,-3.30208699171743,-2.59720476879688,27.9382942145206
SRB,2010,-3.34748568000874,-2.3372587015624,33.8706057298259
SRB,2011,-3.7532042332758,-2.56142413735351,36.9092708397708
SRB,2012,-6.10668463902179,-4.38801023488391,46.1301024788933
SRB,2013,-4.78861280159104,-2.58848881929996,46.6167551583618
SRB,2014,-5.60837383334538,-2.95586097589533,59.4588106441093
SRB,2015,-3.24516905530119,-0.355129162180931,63.9212874027112
SRB,2016,-1.07844655633896,1.72234583954809,62.7055015828306
SRB,2017,1.31631107480878,3.76323948174335,53.2042610420234
SRB,2018,0.77817628981127,2.8325000340477,49.1515960701109
SRB,2019,-0.00436356023595564,1.91717268271547,45.7206893295478
SRB,2020,-6.91310623976527,-5.00043499721069,50.7285535481739
SRB,2021,-3.15564807498041,-1.50192202393665,48.6776801246763
SRB,2022,-0.141169360537169,1.29402721329904,45.2483096687804
SRB,2023,-1.21071313896923,0.482223049628923,38.8418219832971
SRB,2024,-1.75338775139974,0.118878663806265,37.1656626700576
SRB,2025,-2.73435920603056,-0.587242870615263,37.6087815340106
SRB,2026,-2.78015741204118,-0.707365888868097,38.9180102453646
SRB,2027,-2.80108961265622,-0.857859796172708,39.9598606037637
SRB,2028,-2.32287987338451,-0.462166395652621,40.0745179938829
SRB,2029,-2.30484825266479,-0.513472230949051,40.0561328383127
SRB,2030,-1.80675733999124,0.0281101785790885,39.4342675742633
SRB,2001,0.324940663407672,0.943112021757632,94.2240385074627
SRB,2002,-2.32809887261677,-2.07163325906429,65.2185781547194
SRB,2003,-2.38502062859593,-1.55625702236726,60.9985240618823
SRB,2004,0.0610601564291792,1.19120131780653,54.2518171080064
SRB,2005,1.02052802106073,2.33944371383133,45.6226427058546
SSD,2012,-14.8098565708723,-14.0363232144388,NA
SSD,2013,-3.44958001901313,-2.85969489406569,15.1603151868695
SSD,2014,-9.06602870387855,-8.38765541363219,35.2556481244631
SSD,2015,-16.4159911529488,-16.0929795733795,56.5874440086074
SSD,2016,-19.8353414856649,-19.4845727265623,163.739537925814
SSD,2017,9.56479268409576,10.3499288682729,177.504107755308
SSD,2018,-1.06008442482578,-0.169683828245021,77.3298642552605
SSD,2019,0.0419149734508956,1.41865139106326,36.9627899857924
SSD,2020,-5.49909026425279,-4.49751334723875,39.341670972893
SSD,2021,-9.29813684496704,-8.9936007822057,50.1259738031866
SSD,2022,4.47667718650379,4.80127529673305,37.2701774128383
SSD,2023,8.03543971139973,8.37771741052001,51.8965572733999
SSD,2024,11.6828092081285,12.1444550507758,50.6675560017895
SSD,2025,6.63886791498061,7.69509069871017,65.9507914710299
SSD,2026,4.12791070211925,5.39381798669828,60.2002423991086
SSD,2027,3.27854613746016,4.41729761102206,54.9720302583587
SSD,2028,2.61302011787918,3.62976861232301,52.3967744633231
SSD,2029,2.52882034270505,3.37650969022228,47.4833245999583
SSD,2030,2.76207763023684,3.53851177906895,44.725775706365
STP,2002,-10.4233287280869,-6.86164790212219,NA
STP,2003,-15.9258651856269,-12.9984355645078,NA
STP,2004,-25.1151618926127,-22.2021836520949,NA
STP,2005,26.8120996368133,29.3648713205137,NA
STP,2006,17.9919956764082,19.0422052273514,NA
STP,2007,125.135283385092,126.464372256514,NA
STP,2008,13.6480889975978,14.4979880564775,NA
STP,2009,-18.0241567411873,-17.3167203834694,NA
STP,2010,-12.1194514396441,-11.6597539803504,NA
STP,2011,-13.0245804855144,-12.4320255105165,NA
STP,2012,-12.2568986256683,-11.5874310194646,NA
STP,2013,2.1341293893625,2.70602530580377,NA
STP,2014,-6.27422831187007,-5.47377135671795,NA
STP,2015,-7.60022130325461,-6.67021459332598,NA
STP,2016,-5.00639591046723,-4.48844925492442,NA
STP,2017,-3.10733720141034,-2.49695972596063,NA
STP,2018,-2.0231178403228,-1.59937642931801,NA
STP,2019,-0.0661992910436161,0.653354459745226,NA
STP,2020,2.93985929553739,3.28588695069858,NA
STP,2021,-1.51551204842714,-1.30431657000994,NA
STP,2022,-2.24051652520879,-1.69203253225864,NA
STP,2023,-2.13112918930342,-1.41511637959874,NA
STP,2024,0.920807819196598,1.62761107823774,NA
STP,2025,1.07927877281764,2.12928722532285,NA
STP,2026,2.30441716363448,2.95033614522228,NA
STP,2027,3.65294549320483,4.23313037010177,NA
STP,2028,3.47495181391992,4.05931997876137,NA
STP,2029,3.28407121658203,3.83254316000713,NA
STP,2030,3.63229082113161,4.15740834346704,NA
STP,2001,-13.5196626879972,NA,NA
SUR,2000,-7.75803302826641,-7.67548083968518,NA
SUR,2001,3.48968629467056,3.98186727358642,NA
SUR,2002,-3.29562028920054,-2.57420124247582,NA
SUR,2003,-0.113881592623902,1.37804155498113,NA
SUR,2004,-1.20237204520633,-0.45217794508846,NA
SUR,2005,-3.39068508934083,-1.60042089474481,NA
SUR,2006,0.592483553356237,1.99730985223762,NA
SUR,2007,5.01407064381159,6.14025563952047,NA
SUR,2008,2.39343752059243,2.98664031039425,NA
SUR,2009,2.02798446964652,3.19818412408286,NA
SUR,2010,-0.153738829612046,0.653788870245218,NA
SUR,2011,2.31883332198427,3.22225365781215,NA
SUR,2012,-0.38007441977012,0.524648182314256,NA
SUR,2013,-2.64153258305331,-1.40021191430083,NA
SUR,2014,-2.65037723887317,-1.82524339984932,NA
SUR,2015,-8.29118898713745,-6.87123459125382,NA
SUR,2016,-10.1865154559009,-7.6902651548796,NA
SUR,2017,-8.62002061927891,-6.12274230311381,NA
SUR,2018,-8.55879269838538,-5.77424113827532,NA
SUR,2019,-20.225342107248,-17.3472061054319,NA
SUR,2020,-11.9544351001506,-8.30949877505515,NA
SUR,2021,-5.66041533466574,-0.542327747327812,NA
SUR,2022,-2.68910416889629,1.03121280834783,NA
SUR,2023,-1.67923158610666,1.41168176280915,NA
SUR,2024,-2.42370724576748,0.336558028110332,NA
SUR,2025,-9.62350645149085,-5.76478609567026,NA
SUR,2026,-1.74818738987644,1.98777499417675,NA
SUR,2027,-0.828731976230357,2.95633995787412,NA
SUR,2028,1.98054078974933,4.99965829355501,NA
SUR,2029,6.0932230401633,8.04926644074743,NA
SUR,2030,6.0569805048568,7.97832759127572,NA
SUR,1991,-9.80110689471758,-7.11097143516306,NA
SUR,1992,-6.45208134715952,-4.12028833179029,NA
SUR,1993,-4.6750653834363,-2.71173657697214,NA
SUR,1994,-1.89399233526249,-0.761928762842042,NA
SUR,1995,1.16563194348754,1.57687401925098,NA
SUR,1996,3.41986830480466,3.90840863635146,NA
SUR,1997,-0.322631304785994,-0.296774697823177,NA
SUR,1998,-6.38952127080275,-6.38892846846922,NA
SUR,1999,-4.91772246557031,-4.9171176021988,NA
SVK,1996,-9.72083009335629,-8.17373168944764,NA
SVK,1997,-6.23514956221723,-4.4364157146112,NA
SVK,1998,-5.36877185518572,-3.36919729658117,NA
SVK,1999,-7.2519937653333,-4.46526549755017,NA
SVK,2000,-12.6899974709155,-9.59471421345473,44.7764921598381
SVK,2001,-7.74324997886747,-4.62379726763692,45.4326047226101
SVK,2002,-8.3531425566508,-5.38095416959557,31.7346440510622
SVK,2003,-2.28144078736642,-0.608820988672872,30.3185087404273
SVK,2004,-2.35928943037466,-0.90658283493018,30.4124843195954
SVK,2005,-2.85703488152375,-1.71931283179416,29.1073854471029
SVK,2006,-3.57007222843351,-2.67830839943921,26.6572609984206
SVK,2007,-2.25828814541172,-1.30134883176165,24.0353842793516
SVK,2008,-2.54082028572012,-1.6134114002153,23.0397948556375
SVK,2009,-8.18450336584696,-7.07108868600832,32.2549925689093
SVK,2010,-7.44442472055943,-6.32986354628339,36.9947007417797
