country_iso3,year,index_gdp_weighted
PRT,1998,-0.002416295641392256
PRT,1999,-0.0030899854897209885
PRT,2000,-0.0020380165228955677
PRT,2001,-0.0020183156632108262
PRT,2002,-0.002138219542844594
PRT,2003,-0.001970523998416239
PRT,2004,-0.0018922947414216954
PRT,2005,-0.0015606433630390314
PRT,2006,-0.0013244462835322757
PRT,2007,-0.0012654031136267237
PRT,2008,-8.640136201990645e-4
PRT,2009,-0.0012943938652860518
PRT,2010,-0.0011993975734569725
PRT,2011,-0.0010418595230116466
PRT,2012,-0.0010396929958608186
PRT,2013,-0.0010915669868166698
PRT,2014,-0.0012034971220463968
PRT,2015,-0.0014695143305722685
PRT,2016,-0.0016898536207721954
PRT,2017,-0.0015649248994889062
PRT,2018,-0.0014032719080295003
PRT,2019,-0.0016470846071192252
PRT,2020,-0.0018804444410291834
PRT,2021,-9.408839435739463e-4
PRT,2022,-4.4936266926688266e-4
PRT,2023,-0.0010801004992712973
PRY,1995,-0.08205853504919666
PRY,1996,-0.08103014221121137
PRY,1997,-0.08030837259239883
PRY,1998,-0.08997157855820055
PRY,1999,-0.10007484031053628
PRY,2000,-0.09504758315326803
PRY,2001,-0.10088376934194822
PRY,2002,-0.09885154740337428
PRY,2003,-0.08629316366264864
PRY,2004,-0.0864249545533491
PRY,2005,-0.0949204564255011
PRY,2006,-0.09418371671181938
PRY,2007,-0.08419854970946127
PRY,2008,-0.07572608879102434
PRY,2009,-0.08230753863899534
PRY,2010,-0.06836843598193379
PRY,2011,-0.057559813978444715
PRY,2012,-0.06926961461996274
PRY,2013,-0.0715201039784951
PRY,2014,-0.07751629344590086
PRY,2015,-0.08286440944483901
PRY,2016,-0.07756597805453659
PRY,2017,-0.07757008437419977
PRY,2018,-0.07775943922843576
PRY,2019,-0.08270738303557648
PRY,2020,-0.08100211191731375
PRY,2021,-0.06703864726863491
PRY,2022,-0.06021819166037686
PRY,2023,-0.0714764992738403
PSE,2000,NA
PSE,2001,NA
PSE,2002,NA
PSE,2003,NA
PSE,2005,NA
PSE,2006,NA
PSE,2007,NA
PSE,2008,NA
PSE,2009,NA
PSE,2010,NA
PSE,2011,NA
PSE,2012,NA
PSE,2013,NA
PSE,2014,NA
PSE,2015,NA
PSE,2016,NA
PSE,2017,NA
PSE,2018,NA
PSE,2019,NA
PSE,2020,NA
PSE,2021,NA
PSE,2022,NA
PSE,2023,NA
PUS,1995,0
PUS,1996,-0
PUS,1997,-0
PUS,1998,-0
PUS,1999,-0
PYF,1995,0.0031222536976539474
PYF,1996,0.0015346803561238271
PYF,1997,0.0014287743204489372
PYF,1998,0.0014995855108322098
PYF,1999,0.0016808863378437616
PYF,2000,0.002838602655412739
PYF,2001,6.40284454940861e-4
PYF,2002,0.002810443140520044
PYF,2003,0.0010958414772133586
PYF,2004,0.0013828086995004542
PYF,2005,0.0012385865701911205
PYF,2006,0.003053420148839992
PYF,2007,0.001725416983017832
PYF,2008,0.0019888510897198824
PYF,2009,0.0013931681393446332
PYF,2010,0.0019229831379151074
PYF,2011,0.0023372011862580044
PYF,2012,0.001758754353678553
PYF,2013,0.0015400701449522704
PYF,2014,0.0019738565182150867
PYF,2015,0.00384285830769427
PYF,2016,0.002388863651668411
PYF,2017,0.0023920099935988257
PYF,2018,0.0016473412297013507
PYF,2019,0.001368157809924143
PYF,2020,0.0018194922289553326
PYF,2021,0.002288007464948625
PYF,2022,0.0021750997691913744
PYF,2023,0.0016629669767317696
QAT,1995,-0.667600559845662
QAT,1996,-0.6033008967409124
QAT,1997,-0.6104592821671323
QAT,1998,-0.7237982281618274
QAT,1999,-0.6206689584908031
QAT,2000,-0.45493889930000814
QAT,2001,-0.4876157889975012
QAT,2002,-0.4833070105262621
QAT,2003,-0.44342200793521747
QAT,2004,-0.3766314394214371
QAT,2005,-0.26551401555920395
QAT,2006,-0.20778201438103117
QAT,2007,-0.19231251803183963
QAT,2008,-0.1032705504657996
QAT,2009,-0.24425141807975337
QAT,2010,-0.17769501731352597
QAT,2011,-0.11803898329059428
QAT,2012,-0.1108455511731721
QAT,2013,-0.11394826786923416
QAT,2014,-0.13883280288861502
QAT,2015,-0.31575700229766446
QAT,2016,-0.3699335083156697
QAT,2017,-0.3085632029477774
QAT,2018,-0.23401523854815626
QAT,2019,-0.2712696382010488
QAT,2020,-0.40154835578994896
QAT,2021,-0.22894598850523937
QAT,2022,-0.11965149684423289
QAT,2023,-0.2038901776466896
ROU,1995,0.03164754744404106
ROU,1996,0.03247975383017973
ROU,1997,0.030851775025084727
ROU,1998,0.02621397775765597
ROU,1999,0.02414221447572333
ROU,2000,0.02945019673333887
ROU,2001,0.029384925151171606
ROU,2002,0.029411880785507716
ROU,2003,0.0320030304059975
ROU,2004,0.03511605825737096
ROU,2005,0.037502574371203155
ROU,2006,0.042053706430222514
ROU,2007,0.045649252375295636
ROU,2008,0.050307552100466696
ROU,2009,0.038313892697683344
ROU,2010,0.04228471347318319
ROU,2011,0.045303495479935806
ROU,2012,0.04364891349266453
ROU,2013,0.04092331892825898
ROU,2014,0.039881585440019005
ROU,2015,0.039026525328607266
ROU,2016,0.03550666208758865
ROU,2017,0.0377230456274616
ROU,2018,0.039468184547797894
ROU,2019,0.03787768677844198
ROU,2020,0.03760119787018743
ROU,2021,0.0476731488441891
ROU,2022,0.05138524854168062
ROU,2023,0.04283668631343286
RUS,1995,-0.031709574916305494
RUS,1996,-0.02804008301909427
RUS,1997,-0.02741883088133316
RUS,1998,-0.04582376455300416
RUS,1999,-0.035936680378250485
RUS,2000,-0.004738259519405685
RUS,2001,-0.009213335679093179
RUS,2002,-0.012106777632978901
RUS,2003,-0.0015459040072578324
RUS,2004,0.013460108072357998
RUS,2005,0.03214917074855137
RUS,2006,0.05224456191103953
RUS,2007,0.057780605024374806
RUS,2008,0.07178263134136081
RUS,2009,0.04014188069243456
RUS,2010,0.055826257093760184
RUS,2011,0.06462733235393577
RUS,2012,0.06082586260006697
RUS,2013,0.05690471817865503
RUS,2014,0.05174397936772934
RUS,2015,0.027334122817980144
RUS,2016,0.015931722220549473
RUS,2017,0.028135595009916747
RUS,2018,0.039815476518528695
RUS,2019,0.028686812160810603
RUS,2020,0.010946303029350839
RUS,2021,0.05761146407216076
RUS,2022,0.08170048228471323
RUS,2023,0.052973530396998814
RWA,1995,6.204220020413388e-5
RWA,1996,7.08162666023175e-5
RWA,1997,5.3836517972763196e-5
RWA,1998,4.756611720408097e-5
RWA,1999,-5.4690334181786064e-5
RWA,2000,-5.353138822764516e-5
RWA,2001,-2.895645464536613e-4
RWA,2002,-3.8644922193457665e-4
RWA,2003,-2.8937648267168066e-4
RWA,2004,-3.061207892511767e-5
RWA,2005,6.603603441838473e-5
RWA,2006,8.683695611845318e-5
RWA,2007,-2.952874509306348e-4
RWA,2008,1.2060616297517408e-4
RWA,2009,1.1601681165443227e-4
RWA,2010,1.2924261870111305e-4
RWA,2011,-2.8647563302465625e-4
RWA,2012,-2.850116565062064e-4
RWA,2013,-2.8758429218544214e-4
RWA,2014,1.3424551970042992e-4
RWA,2015,1.3339195732568526e-4
RWA,2016,1.3823158882292656e-4
RWA,2017,1.359691143599184e-4
RWA,2018,1.350955059506003e-4
RWA,2019,1.415703170678192e-4
RWA,2020,1.5517819144221477e-4
RWA,2021,1.6272683440462629e-4
RWA,2022,1.647462688135162e-4
RWA,2023,1.5226329424460126e-4
S19,1995,0
S19,1996,0
S19,1997,0
S19,1998,0
S19,1999,0
S19,2000,0
S19,2001,0
S19,2002,0
S19,2003,0
S19,2004,0
S19,2005,0
S19,2006,0
S19,2007,0
S19,2008,0
S19,2009,0
S19,2010,0
S19,2011,0
S19,2012,0
S19,2013,0
S19,2014,0
S19,2015,0
S19,2016,0
S19,2017,0
S19,2018,0
S19,2019,0
S19,2020,0
S19,2021,0
S19,2022,0
S19,2023,0
SAU,1995,-0.524214326432098
SAU,1996,-0.47570608074685927
SAU,1997,-0.48016570475162584
SAU,1998,-0.5650061278720161
SAU,1999,-0.48519814453363597
SAU,2000,-0.36027862932122673
SAU,2001,-0.384759561517063
SAU,2002,-0.38163949503004224
SAU,2003,-0.3530518086751325
SAU,2004,-0.303300187705047
SAU,2005,-0.21902796966387977
SAU,2006,-0.17438845075319276
SAU,2007,-0.1640813103835293
SAU,2008,-0.09771904407108478
SAU,2009,-0.20162810998467395
SAU,2010,-0.15291866086216263
SAU,2011,-0.1072091151763841
SAU,2012,-0.10126187030574003
SAU,2013,-0.1023459226175345
SAU,2014,-0.12133158036223894
SAU,2015,-0.2576327067558834
SAU,2016,-0.29777530850560274
SAU,2017,-0.25118908763310566
SAU,2018,-0.1943769396028132
SAU,2019,-0.2236076164471572
SAU,2020,-0.3233649185516913
SAU,2021,-0.1927654130122378
SAU,2022,-0.10907101097160914
SAU,2023,-0.17148545976159524
SCG,1995,0
SCG,1996,0
SCG,1997,0
SCG,1998,0
SCG,1999,0
SCG,2000,0
SCG,2001,0
SCG,2002,0
SCG,2003,0
SCG,2004,0
SCG,2005,0
SDN,1995,-0.04418486432100011
SDN,1996,-0.04589175010359903
SDN,1997,-0.046824582753237164
SDN,1998,-0.047565358788130035
SDN,1999,-0.04987829944758445
SDN,2000,-0.04842526126854858
SDN,2001,-0.05019698116221289
SDN,2002,-0.05034422191492381
SDN,2003,-0.047304140583328526
SDN,2004,-0.0482307559209759
SDN,2005,-0.04963685977045396
SDN,2006,-0.04883460098242923
SDN,2007,-0.048479618127540126
SDN,2008,-0.047625867551858374
SDN,2009,-0.0490866145150014
SDN,2010,-0.042508855222795114
SDN,2011,-0.03921454374208671
SDN,2012,-0.04484195020706193
SDN,2013,-0.04501872430827962
SDN,2014,-0.045991096732534785
SDN,2015,-0.046751067358061636
SDN,2016,-0.04542110015522976
SDN,2017,-0.04462504101614512
SDN,2018,-0.04435475439508296
SDN,2019,-0.04499456877690214
SDN,2020,-0.04531683886091607
SDN,2021,-0.04339634738535233
SDN,2022,-0.04153714916163296
SDN,2023,-0.04438156088813421
SEN,1995,-0.010775029758814442
SEN,1996,-0.010993286244449084
SEN,1997,-0.010866635188226104
SEN,1998,-0.01091569379718427
SEN,1999,-0.010807952542600146
SEN,2000,-0.0108277514878759
SEN,2001,-0.011040949195054287
SEN,2002,-0.01082863636255142
SEN,2003,-0.01003506574157663
SEN,2004,-0.009969700927480046
SEN,2005,-0.010015915527759024
SEN,2006,-0.010011952745234622
SEN,2007,-0.0076924638073713435
SEN,2008,-3.70455121595672e-4
SEN,2009,-0.004824186106756946
SEN,2010,-0.004313923618386621
SEN,2011,-0.0026104277029402718
SEN,2012,-0.0036502368192418587
SEN,2013,-0.005318948525426275
SEN,2014,-0.005630182187078709
SEN,2015,-0.005017238327112014
SEN,2016,-0.0059701425917398415
SEN,2017,-0.006483168575543559
SEN,2018,-0.005909851554130573
SEN,2019,-0.007158575487833705
SEN,2020,-0.007592363028177451
SEN,2021,-0.003469941456869761
SEN,2022,-1.347106556092196e-4
SEN,2023,-0.0016421628509727692
SGP,1995,-0.022716229314635024
SGP,1996,-0.024071862625312527
SGP,1997,-0.025846991152720218
SGP,1998,-0.02938618985463291
SGP,1999,-0.03130424740024191
SGP,2000,-0.029584993195718383
SGP,2001,-0.03144517050680249
SGP,2002,-0.027885015182821337
SGP,2003,-0.024015410986378508
SGP,2004,-0.020375570048295346
SGP,2005,-0.017397611776788773
SGP,2006,-0.008262019606678177
SGP,2007,-0.006045142910976122
SGP,2008,-0.00430554493660978
SGP,2009,-0.008354047191799444
SGP,2010,2.604015785238076e-4
SGP,2011,0.004253909422555752
SGP,2012,3.4815046271285293e-4
SGP,2013,-0.0034492729953807797
SGP,2014,-0.007320471908724479
SGP,2015,-0.010028694902754869
SGP,2016,-0.00879649895718458
SGP,2017,-0.006327985139221474
SGP,2018,-0.009194548994023295
SGP,2019,-0.009386281015185337
SGP,2020,-0.007439057371044503
SGP,2021,-0.0014512798908437067
